original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"Group_1171276358_4.svg","raw_fragment","1171","77a7fd3958cb10c3d5300441c7d522bae495c577d9742f5294ee83da2e735586","false","Group_1171276358_4.svg","raw_fragment__group_1171276358_4.svg"
"Group_1171276358_5.svg","raw_fragment","1208","a485280564cff7e514ee4864ed62d84f983c85601f4bb87e95edfbe89d9df030","false","Group_1171276358_5.svg","raw_fragment__group_1171276358_5.svg"
"Group_1171276358_6.svg","raw_fragment","600","d0cf9391123376e38b86e9ed0c0008a6748e66a8f45f3b386a000f55ae4315b2","false","Group_1171276358_6.svg","raw_fragment__group_1171276358_6.svg"
"Group_1171276358_7.svg","raw_fragment","549","cf28f970c39225d4c77eafb654660c5fdad0599c0db19f862fa931d50247ed1a","false","Group_1171276358_7.svg","raw_fragment__group_1171276358_7.svg"
"Group_1171276358_8.svg","raw_fragment","656","749ea75b25e4aa8dd5d80d32ad3e18371f88e4ba7d675bb3648861485194528d","false","Group_1171276358_8.svg","raw_fragment__group_1171276358_8.svg"
"Group_1171276358.svg","raw_fragment","460","1ca6c54f2e6218f3110f179914363d6c791b8dc79ebf79aa9f7e84aad61b78da","false","Group_1171276358.svg","raw_fragment__group_1171276358.svg"
"Group_1171276362_2.svg","raw_fragment","1590","86f6a7a0bee5c3373258478d734034d6f07603e73072baef21cf4e649ba40aa4","false","Group_1171276362_2.svg","raw_fragment__group_1171276362_2.svg"
"Group_1171276362.svg","raw_fragment","1590","86f6a7a0bee5c3373258478d734034d6f07603e73072baef21cf4e649ba40aa4","true","Group_1171276362_2.svg","raw_fragment__group_1171276362.svg"
"Group_1171276408_2.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","false","Group_1171276408_2.svg","raw_fragment__group_1171276408_2.svg"
"Group_1171276408_3.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_3.svg"
"Group_1171276408_4.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_4.svg"
"Group_1171276408_5.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_5.svg"
"Group_1171276408_6.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_6.svg"
"Group_1171276408_7.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_7.svg"
"Group_1171276408_8.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_8.svg"
"Group_1171276408_9.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408_9.svg"
"Group_1171276408.svg","raw_fragment","286","1a65c70b962051bb844d6d0f9bc5c3725723f168d4c6804e3a90f61a7c38bb18","true","Group_1171276408_2.svg","raw_fragment__group_1171276408.svg"
"Group_319_2.svg","raw_fragment","1043","b6cacd0ee84c1e67bbdb1241930a3815d41e9695fab66721800f12cbbb54adf1","false","Group_319_2.svg","raw_fragment__group_319_2.svg"
"Group_319_3.svg","raw_fragment","1035","705016891760b1daa0339516ab6fa1cfd7341ee3b8941fa88a633eb0078358a2","false","Group_319_3.svg","raw_fragment__group_319_3.svg"
"Group_319_4.svg","raw_fragment","1041","74e029e330279ca22e39e5c9e8f1c8160331d9d1b29642478e57f7b8fce71399","false","Group_319_4.svg","raw_fragment__group_319_4.svg"
"Group_319.svg","raw_fragment","1036","55e80031a693517f9387289b8b1e9f154c8a9d5ba09b2cf083fa14eb6e4aa6a3","false","Group_319.svg","raw_fragment__group_319.svg"
